source,date,like,share,comment,link,content
蔡英文 Tsai Ing-wen,2021-08-14,39000,585,4470,https://m.facebook.com/story.php?story_fbid=10157641084776065&id=46251501064,"今天是星期五，想跟大家分享我這週的外交工作心得：  　　 這幾天，我接連見了 美國在台協會 AIT 的孫曉雅（Sandra Oudkirk）處長以及 澳洲駐台辦事處 Australian Office in Taipei 的露珍怡（Jenny Bloomfield）代表。兩位都是傑出的外交官，也是台灣的好朋友，跟她們會面，不但是愉快的互動，也對各種議題有了深入的交流。 　　 透過對談，我可以感受到，不論是美國還是澳洲，都越來越重視跟台灣的合作，也都在思考，如何在既有的良好穩定基礎上，讓台美、台澳雙邊關係更緊密、更深化。  　　 此外，我們也談論到台灣的戰略位置。美國和澳洲，都從印度－太平洋區域的尺度思考台灣議題。在經貿、科技、安全等區域事務上，台灣都可以發揮的關鍵作用。  　　 就像「戰貓」蕭美琴 Bi-khim Hsiao 大使在美國的活躍一樣，我相當期待，孫曉雅處長和露珍怡代表，也會同樣活躍在台灣的舞台上，和我們一起深化台灣的民主，一起增進台灣的區域貢獻，一起讓世界更加認識台灣。  　　 看到駐台的外國使節，總會讓我想起台灣駐外的外交官。國際疫情依然嚴峻，盼望 外交部 Ministry of Foreign Affairs, ROC（Taiwan） 第一線同仁在努力拓展國際空間的同時，也一定要多保重、要照顧好自己。翻譯年糕"
蔡英文 Tsai Ing-wen,2021-08-12,28000,710,4782,https://m.facebook.com/story.php?story_fbid=10157639595466065&id=46251501064,"因為疫情，我知道很多人的工作都受到不小的影響。剛離開校園、正在找工作的畢業生，也面臨比以往更嚴峻的挑戰。 　　 即使面臨挑戰，大家還是非常努力落實防疫措施，也在疫情下改變了很多生活的習慣。這是台灣可以在三個月內，從單日最多新增723例確診降回個位數，最主要的原因。真的辛苦大家、也謝謝大家了。 　　 政府該做的，是盡可能給大家更多的支持，幫大家減輕負擔，共同度過這段困難的時期。因此，在紓困4.0推出後，我們不斷蒐集大家的意見，也不斷努力在紓困方案中納入更多需要幫助的朋友。 　　 就在今天，勞動部提出了 #應屆畢業青年就業促進方案，包含青年尋職津貼、青年就業獎勵、學習獎勵金等計畫，希望協助應屆畢業生及年輕朋友，找工作可以有獎勵，想加強職業訓練的話，也能有獎助。 　　 另外，關於從事部分工時或全時的中高齡就業朋友反應的需求，我們也進一步 #擴大勞工紓困申請，讓更多人可以申請10,000元津貼。8/13，也就是明天早上開始，就可以請領。 　　 再次謝謝大家配合防疫，紓困政策，政府會繼續努力！ 　　 ✅應屆畢業青年就業促進方案：https://reurl.cc/83mydg ✅全時受僱勞工生活補貼2.0：https://reurl.cc/nogo1n ✅部分工時受僱勞工生活補貼3.0：https://reurl.cc/AkZgVQ 　　 #團結防疫守台灣翻譯年糕"
蔡英文 Tsai Ing-wen,2021-08-12,52000,644,4791,https://m.facebook.com/story.php?story_fbid=10157639562856065&id=46251501064,"今天下午，政府採購的52.4萬劑 #AZ疫苗 已經抵達。這是我們跟AZ公司的採購合約中，第五批到貨的疫苗。目前，台灣累計取得的疫苗，也突破了1,000萬劑。 　　 在全球疫苗短缺下，我們能在短短幾個月內取得超過1,000萬劑疫苗，也把每日確診案例降回個位數，這些得來不易的成績，真的要謝謝所有的防疫人員、外交人員、每一位台灣人民的配合，以及國際夥伴的支持。 　　 我知道大家都希望快點打到疫苗，我們會每天緊盯進度，繼續催促已訂購的疫苗儘速到貨！ 　　 #團結防疫守台灣翻譯年糕"
蔡英文 Tsai Ing-wen,2021-08-11,48000,1432,7505,https://m.facebook.com/story.php?story_fbid=10157637984036065&id=46251501064,國產疫苗8/16開始預約接種，我也會去！ 　　 國際疫情嚴峻，我們不能輕忽防疫措施，更必須持續增加台灣社會集體的防護力。今天指揮中心宣布，國產 #高端疫苗 即將開始施打，我要提醒有意接種高端疫苗的朋友，一起留意以下的時程： 　　 ✅意願登記：8/13（五）12:00結算 　　 ✅預約接種：8/16（一）10:00至8/18（三）12:00 　　 ✅施打時程：8/23（一）至8/29（日） 　　 截至目前為止，已經有超過106萬人在意願登記中勾選高端疫苗。接下來開放預約的對象，也將會根據意願登記的結算情形來決定，請大家持續注意了。 　　 ➡️疫苗施打意願登記與預約系統：https://1922.gov.tw/ 　　 #團結防疫守台灣翻譯年糕
蔡英文 Tsai Ing-wen,2021-08-10,54000,529,3337,https://m.facebook.com/story.php?story_fbid=10157636461271065&id=46251501064,歡迎 美國在台協會 AIT  新上任的孫曉雅處長！ 　　 今天，我在總統府和孫曉雅（Sandra Oudkirk）處長見面，當面恭喜她就任。孫曉雅處長是相當資深的外交官，在1990年代就曾經派駐台灣，對台灣有長期的關注，也有深厚的感情，是我們的老朋友。 　　 2019年台美舉辦第一屆「太平洋對話」時，孫曉雅處長就以美國國務院副助卿的身分，率團來到台灣，也在「玉山論壇」發表專題演講。那時，我和孫曉雅處長對於如何維護區域的和平穩定，深入交換了意見。 　　 這幾年來，台美關係有許多關鍵的進展。像是最近台美雙方召開「貿易暨投資架構協定」（TIFA）會談，以及美國捐贈250萬劑疫苗，這些緊密的互動，都是 #真朋友真進展 的最佳體現。我也期待，接下來能和孫曉雅處長共同努力，繼續深化台美夥伴關係，繼續拓展台美在各領域的合作機會！翻譯年糕
蔡英文 Tsai Ing-wen,2021-08-09,31000,845,3669,https://m.facebook.com/story.php?story_fbid=10157636252841065&id=46251501064,我接受日本 #文藝春秋 月刊的專訪，今天已經出刊。 　　 在專訪中，我對於日本朋友相當關心的防疫工作、台美日關係、兩岸關係、香港情勢、台灣半導體產業發展、台灣的國際參與及區域安全、區域經濟等議題，一一闡述了我的想法。也謝謝資深評論家 #船橋洋一 先生的訪問。 　　 台灣和日本都是民主國家，今後，期盼在共享相同的價值觀之下，持續加強合作，並延續彼此關懷、互相扶持的 #善的循環。 　　 歡迎大家一起幫我分享文藝春秋的專訪，一起來把 #台日友好 的情誼傳遞下去！ 　　 👉專訪原文：https://bunshun.jp/articles/-/47678 👉中文翻譯：https://www.president.gov.tw/NEWS/26153翻譯年糕
蔡英文 Tsai Ing-wen,2021-08-09,53000,3095,3188,https://m.facebook.com/story.php?story_fbid=10157635101551065&id=46251501064,東京奧運順利閉幕，帶著滿滿的感動，今天，代表團的全體人員都回到台灣了。 　　 我要謝謝68位 #選手、所有的 #教練、所有的 #後勤支援團隊，以及所有代表台灣在奧運賽場執法的 #裁判 們。因為你們的發光發熱，不只是在台灣的大家深深受到鼓舞，全世界也因此注意到台灣散發出的光芒。 　　 就讓我們把這些光芒，牢牢珍藏在記憶裡。不論是運動員苦練圓夢的淚光、奮戰到底的榮光、青春無敵的星光、合作無間的閃光、還是每一面獎牌榮耀的亮光，台灣體育的光輝，我們一起來閃耀下去！ 　　 再次謝謝每一位為奧運付出努力的人，成就了為台灣喝采的每一道光！ 　　 畫面提供：體育署、國家運動訓練中心、駐日代表處、中央社、軍聞社、TSNA 　　 #台灣加油 #東京奧運 #TokyoOlympics翻譯年糕
蔡英文 Tsai Ing-wen,2021-08-09,40000,632,3024,https://m.facebook.com/story.php?story_fbid=10157635016521065&id=46251501064,豪雨帶來的農損已經超過2億元，今天我來到雲林、嘉義，了解災損和救助的情況。 　　 在兩位縣長、在地立委陪同下，我聽取了落花生、葉菜類等農作物遭受損失的報告，也關心農民的狀況。我請 陳吉仲 主委務必要簡化災損認定的方式，加快第一線同仁勘損的速度，希望能在最短的時間內，讓農民領到救助金，順利恢復生產。 　　 今天，行政院農業委員會 迅速公布了最新的「農業天然災害現金救助方案」，彰化以南各縣市「全區域、全品項」都在適用對象內。我要謝謝所有農友的體諒和配合，政府會跟大家站在一起，有困難就盡力幫忙！ 　　 ➡詳細了解最新農損救助方案： ✅彰化縣、雲林縣、嘉義縣、嘉義市、台南市、高雄市及屏東縣：https://reurl.cc/dG362g ✅苗栗縣、台中市及南投縣：https://reurl.cc/NrMVRx翻譯年糕
蔡英文 Tsai Ing-wen,2021-08-08,48000,541,6587,https://m.facebook.com/story.php?story_fbid=10157633493966065&id=46251501064,"疫苗又來了！政府採購的99,600劑 #Moderna疫苗，已經在今天下午抵達。 　　 這陣子受到Delta變種病毒影響，世界上許多國家的確診數再創高峰。不過，台灣的確診人數則持續下降，這是全民共同努力的成果。 　　 在全球疫苗供貨短缺的挑戰下，我們依然多管齊下，努力維持疫苗供應。包含今天的疫苗在內，目前台灣已經累計取得超過960萬劑疫苗。 　　 接下來，政府和民間採購的疫苗數量還會陸續抵達，我們會全力催促、緊盯疫苗供貨，並搭配國產疫苗，讓國人的接種可以持續下去。 　　 我也要請大家一起繼續努力，落實防疫，並用更高的整體防護力來對抗疫情，守護台灣！ 　　 👉疫苗施打意願登記與預約系統：https://1922.gov.tw/ 　　 #團結防疫守台灣翻譯年糕"
蔡英文 Tsai Ing-wen,2021-08-07,31000,514,2906,https://m.facebook.com/story.php?story_fbid=10157633151731065&id=46251501064,謝謝所有堅守防救災崗位的同仁，因應氣候挑戰，我們絕不能鬆懈！ 　　 今天一早，我前往 #水災中央災害應變中心，掌握豪大雨應變的最新情形。我指示各部會，務必嚴防土石流、加速抽排水，並全力搶修交通運輸，各項交通延誤或停駛的資訊，也要第一時間提供給大眾。 　　 另外，因應雨勢帶來的農損，我們將採取「從優、從速、從簡」原則，由 行政院農業委員會 公布救助標準，也會確保物價穩定。 　　 根據氣象預報，目前雨勢雖然稍微緩和，但我們依然不能掉以輕心。請住在沿海低窪地區和山區的朋友，都要特別小心安全！ 　　 今天是父親節，再次謝謝所有犧牲了假期、全力執行防救災工作的同仁。不論是在進駐應變中心，或是冒著雨勢在各地救災、搶通路段、抽水排水、搶修水電的同仁，以及國軍和警消弟兄姊妹，大家都辛苦了！翻譯年糕
